"Id;""Designator"";""Footprint"";""Quantity"";""Designation"";""Supplier and ref"";",,,,,,,
"1;""D5",D6,"D4"";""XDCR_BPV22NF"";3;""BPV22NF"";;;",,,,,
"2;""C8",C5,C1,C4,C16,C14,C19,"C7"";""C_0805_2012Metric"";8;""1u"";;;"
"3;""C6","C21"";""C_0805_2012Metric"";2;""10u"";;;",,,,,,
"4;""J9"";""PinHeader_1x03_P2.54mm_Vertical"";1;""MOTOR3"";;;",,,,,,,
"5;""J11"";""PinHeader_1x03_P2.54mm_Vertical"";1;""MOTOR5"";;;",,,,,,,
"6;""J10"";""PinHeader_1x03_P2.54mm_Vertical"";1;""MOTOR4"";;;",,,,,,,
"7;""J6"";""JST_SH_BM05B-SRSS-TB_1x05-1MP_P1.00mm_Vertical"";1;""HALL5"";;;",,,,,,,
"8;""R4"";""R_0805_2012Metric"";1;""3k"";;;",,,,,,,
"9;""U1"";""WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm_ThermalVias"";1;""TLV76733DRVx"";;;",,,,,,,
"10;""D2",D3,"D7"";""LED_0805_2012Metric"";3;""LED"";;;",,,,,
"11;""C3",C2,"C10"";""C_0805_2012Metric"";3;""0.1u"";;;",,,,,
"12;""C11","C22"";""C_0805_2012Metric"";2;""2.2u"";;;",,,,,,
"13;""C13","C9"";""C_0805_2012Metric"";2;""10n"";;;",,,,,,
"14;""J15"";""AMASS_XT30PW-F_1x02_P2.50mm_Horizontal"";1;""Battery Connector Bat"";;;",,,,,,,
"15;""R1",TH1,R14,"R20"";""R_0805_2012Metric"";4;""10k"";;;",,,,
"16;""D1"";""D_SOD-923"";1;""ESD9B3.3ST5G"";;;",,,,,,,
"17;""J5"";""JST_SH_BM05B-SRSS-TB_1x05-1MP_P1.00mm_Vertical"";1;""HALL4"";;;",,,,,,,
"18;""J3"";""JST_SH_BM05B-SRSS-TB_1x05-1MP_P1.00mm_Vertical"";1;""HALL2"";;;",,,,,,,
"19;""U4"";""Bosch_LGA-14_3x2.5mm_P0.5mm"";1;""IIM-42652"";;;",,,,,,,
"20;""BT1"";""BAT_1048P"";1;""1048P"";;;",,,,,,,
"21;""U2"";""ESP32-S3-WROOM-1"";1;""ESP32-S3-WROOM-1"";;;",,,,,,,
"22;""RESET1","BOOT1"";""SW_SPST_EVPBF"";2;""SW_Push"";;;",,,,,,
"23;""J8"";""PinHeader_1x03_P2.54mm_Vertical"";1;""MOTOR2"";;;",,,,,,,
"24;""J1"";""PinHeader_1x04_P2.54mm_Vertical"";1;""Conn_01x04_Pin"";;;",,,,,,,
"25;""J13","J14"";""PinHeader_1x05_P2.54mm_Vertical"";2;""Conn_01x05_Pin"";;;",,,,,,
"26;""J2"";""JST_SH_BM05B-SRSS-TB_1x05-1MP_P1.00mm_Vertical"";1;""HALL1"";;;",,,,,,,
"27;""D8"";""D_SOD-923"";1;""ESD9B5.0ST5G"";;;",,,,,,,
"28;""J7"";""PinHeader_1x03_P2.54mm_Vertical"";1;""MOTOR1"";;;",,,,,,,
"29;""R5","R7"";""R_0805_2012Metric"";2;""47k"";;;",,,,,,
"30;""R2"";""R_0805_2012Metric"";1;""500"";;;",,,,,,,
"31;""R6","R11"";""R_0805_2012Metric"";2;""100k"";;;",,,,,,
"32;""J4"";""JST_SH_BM05B-SRSS-TB_1x05-1MP_P1.00mm_Vertical"";1;""HALL3"";;;",,,,,,,
"33;""C12"";""C_0805_2012Metric"";1;""5p"";;;",,,,,,,
"34;""U5"";""SOIC127P599X175-8N"";1;""TLV2462CDR"";;;",,,,,,,
"35;""R3"";""R_0805_2012Metric"";1;""5.1k"";;;",,,,,,,
"36;""R15"";""R_0805_2012Metric"";1;""11k"";;;",,,,,,,
"37;""U7"";""RZR0016A-MFG"";1;""TPS54KB20RZRR"";;;",,,,,,,
"38;""U3"";""Diodes_UDFN-10_1.0x2.5mm_P0.5mm"";1;""D3V3XA4B10LP"";;;",,,,,,,
"39;""R9"";""R_0805_2012Metric"";1;""383"";;;",,,,,,,
"40;""C20",C27,"C17"";""C_0805_2012Metric"";3;""100n"";;;",,,,,
"41;""C28",C29,"C30"";""C_0805_2012Metric"";3;""47u"";;;",,,,,
"42;""R18"";""R_0805_2012Metric"";1;""9.5"";;;",,,,,,,
"43;""R10"";""R_0805_2012Metric"";1;""422k"";;;",,,,,,,
"44;""C26"";""C_0805_2012Metric"";1;""44u"";;;",,,,,,,
"45;""C24",C18,"C15"";""C_0805_2012Metric"";3;""4.7u"";;;",,,,,
"46;""R16"";""R_0805_2012Metric"";1;""5k"";;;",,,,,,,
"47;""R19"";""R_0805_2012Metric"";1;""45.3k"";;;",,,,,,,
"48;""R8"";""R_0805_2012Metric"";1;""2.2k"";;;",,,,,,,
"49;""L1"";""L_Taiyo-Yuden_MD-2020"";1;""1u"";;;",,,,,,,
"50;""J12"";""AMASS_XT30PW-M_1x02_P2.50mm_Horizontal"";1;""Battery Connector MCU"";;;",,,,,,,
"51;""U6"";""VQFN-24-1EP_4x4mm_P0.5mm_EP2.5x2.5mm"";1;""BQ25887"";;;",,,,,,,
"52;""R12"";""R_0805_2012Metric"";1;""5.23k"";;;",,,,,,,
"53;""R17"";""R_0805_2012Metric"";1;""300"";;;",,,,,,,
"54;""C25"";""C_0805_2012Metric"";1;""47n"";;;",,,,,,,
"55;""R13"";""R_0805_2012Metric"";1;""30.1k"";;;",,,,,,,
"56;""L2"";""L_Bourns_SRU5016_5.2x5.2mm"";1;""220u"";;;",,,,,,,
"57;""P1"";""USB_C_Receptacle_GCT_USB4110"";1;""USB_C_Plug_USB2.0"";;;",,,,,,,
"58;""C23"";""C_0805_2012Metric"";1;""39n"";;;",,,,,,,
